id,phenograph,ct_broad
1440,2,cancer cell
1441,5,cancer cell
1446,19,other
1447,5,cancer cell
1448,11,cancer cell
1449,12,cancer cell
1452,5,cancer cell
1453,5,cancer cell
1454,3,cancer cell
1455,1,cancer cell
1459,5,cancer cell
1460,1,cancer cell
1461,3,cancer cell
1462,3,cancer cell
1463,13,immune cell
1466,3,cancer cell
1467,34,cancer cell
1469,34,cancer cell
1470,28,immune cell
1473,34,cancer cell
1474,11,cancer cell
1475,34,cancer cell
1476,-1,other
1477,5,cancer cell
1478,-1,other
1484,15,myofibroblast
1486,11,cancer cell
1487,37,cancer cell
1488,5,cancer cell
1489,5,cancer cell
1490,34,cancer cell
1494,1,cancer cell
1495,12,cancer cell
1496,1,cancer cell
1497,12,cancer cell
1499,2,cancer cell
1500,12,cancer cell
1501,1,cancer cell
1502,3,cancer cell
1503,6,cancer cell
1504,11,cancer cell
1507,5,cancer cell
1508,-1,other
1510,25,immune cell
1511,1,cancer cell
1514,15,myofibroblast
1515,12,cancer cell
1516,34,cancer cell
1517,11,cancer cell
1521,3,cancer cell
1522,20,cancer cell
1523,-1,other
1529,12,cancer cell
1532,2,cancer cell
1533,3,cancer cell
1534,5,cancer cell
1537,11,cancer cell
1538,11,cancer cell
1539,4,cancer cell
1540,11,cancer cell
1544,19,other
1545,12,cancer cell
1546,23,plasma cell
1547,2,cancer cell
1551,11,cancer cell
1552,3,cancer cell
1553,12,cancer cell
1554,12,cancer cell
1557,2,cancer cell
1558,11,cancer cell
1559,18,immune cell
1560,18,immune cell
1562,14,stromal cell
1563,5,cancer cell
1565,3,cancer cell
1566,3,cancer cell
1567,11,cancer cell
1568,23,other
1570,1,cancer cell
1573,4,cancer cell
1574,5,cancer cell
1575,34,cancer cell
1577,23,plasma cell
1579,9,other
1585,4,epithelial cell
1586,2,cancer cell
1587,29,other
1591,13,immune cell
1592,2,cancer cell
1593,3,cancer cell
1594,1,cancer cell
1595,12,cancer cell
1596,5,cancer cell
1597,2,cancer cell
1602,11,cancer cell
1603,11,cancer cell
1604,11,cancer cell
1605,23,other
1608,37,cancer cell
1609,6,cancer cell
1610,3,cancer cell
1611,25,immune cell
1613,23,plasma cell
1615,4,cancer cell
1616,11,cancer cell
1617,34,cancer cell
1618,13,immune cell
1619,3,cancer cell
1620,12,cancer cell
1621,4,cancer cell
1623,19,other
1624,37,cancer cell
1625,12,cancer cell
1626,12,cancer cell
1627,34,cancer cell
1628,23,plasma cell
1629,6,epithelial cell
1630,11,cancer cell
1631,17,myofibroblast
1632,26,other
1633,29,other
1637,2,cancer cell
1638,-1,other
1640,23,plasma cell
1643,4,cancer cell
1646,11,cancer cell
1647,11,cancer cell
1648,2,cancer cell
1652,34,cancer cell
1656,11,cancer cell
1657,12,cancer cell
1662,1,cancer cell
1663,11,cancer cell
1664,29,other
1669,14,stromal cell
1670,3,cancer cell
1671,12,cancer cell
1672,11,cancer cell
1674,34,cancer cell
1675,14,stromal cell
1676,12,cancer cell
1677,1,cancer cell
1678,3,cancer cell
1679,20,cancer cell
1681,14,stromal cell
1682,1,cancer cell
1685,1,cancer cell
1686,11,cancer cell
1687,29,other
1690,3,cancer cell
1691,16,other
1693,3,cancer cell
1694,25,immune cell
1698,5,cancer cell
1699,3,cancer cell
1700,12,cancer cell
1703,11,cancer cell
1704,34,cancer cell
1705,34,cancer cell
1706,11,cancer cell
1712,5,cancer cell
1713,3,cancer cell
1714,11,cancer cell
1715,12,cancer cell
1717,1,cancer cell
1718,1,cancer cell
1719,-1,other
1720,18,immune cell
1722,12,cancer cell
1723,6,cancer cell
1724,3,cancer cell
1725,2,cancer cell
1728,37,cancer cell
1729,3,cancer cell
1730,12,cancer cell
1731,34,cancer cell
1734,15,myofibroblast
1740,5,cancer cell
1741,12,cancer cell
1742,34,cancer cell
1743,-1,other
1747,5,cancer cell
1748,11,cancer cell
1751,19,other
1752,6,cancer cell
1754,21,endothelial cell
1755,34,cancer cell
1758,16,other
1759,12,cancer cell
1761,14,stromal cell
1762,1,cancer cell
1763,3,cancer cell
1764,11,cancer cell
1765,2,cancer cell
1767,12,cancer cell
1771,11,cancer cell
1772,3,cancer cell
1775,5,cancer cell
1776,6,cancer cell
1777,37,cancer cell
1778,12,cancer cell
1782,5,cancer cell
1786,14,stromal cell
1787,12,cancer cell
1790,12,cancer cell
1791,21,endothelial cell
1793,37,cancer cell
1794,11,cancer cell
1795,31,cancer cell
1796,-1,other
1797,12,cancer cell
1798,11,cancer cell
1800,11,cancer cell
1801,13,immune cell
1805,6,cancer cell
1806,11,cancer cell
1807,11,cancer cell
1812,4,cancer cell
1813,11,cancer cell
1814,37,cancer cell
1815,5,cancer cell
1816,5,cancer cell
1820,19,other
1821,2,cancer cell
1822,20,cancer cell
1823,1,epithelial cell
1824,8,other
1826,1,cancer cell
1828,6,cancer cell
1829,11,cancer cell
1831,11,cancer cell
1832,11,cancer cell
1834,19,other
1837,22,stromal cell
1838,7,cancer cell
1839,34,cancer cell
1840,37,cancer cell
1841,11,cancer cell
1842,9,other
1845,34,cancer cell
1846,11,cancer cell
1847,11,cancer cell
1853,11,cancer cell
1854,11,cancer cell
1857,5,cancer cell
1858,34,cancer cell
1859,3,cancer cell
1860,11,cancer cell
1863,19,other
1864,11,cancer cell
1865,5,cancer cell
1866,11,cancer cell
1867,3,cancer cell
1868,11,cancer cell
1869,2,cancer cell
1873,2,cancer cell
1874,34,cancer cell
1875,14,stromal cell
1876,12,cancer cell
1879,11,cancer cell
1880,1,cancer cell
1885,12,cancer cell
1890,14,stromal cell
1891,5,cancer cell
1892,34,cancer cell
1893,5,cancer cell
1894,14,stromal cell
1897,16,other
1898,11,cancer cell
1901,16,other
1902,19,other
1903,14,stromal cell
1904,12,cancer cell
1907,3,cancer cell
1908,3,cancer cell
1909,13,immune cell
1911,12,cancer cell
1912,5,cancer cell
1913,3,cancer cell
1916,12,cancer cell
1917,16,other
1918,3,cancer cell
1919,19,other
1922,12,cancer cell
1923,9,other
1924,8,other
1928,11,cancer cell
1929,3,cancer cell
1930,12,cancer cell
1932,3,cancer cell
1933,19,other
1935,2,cancer cell
1936,1,cancer cell
1937,11,cancer cell
1938,6,cancer cell
1939,19,other
1942,6,cancer cell
1943,19,other
1945,17,myofibroblast
1947,5,cancer cell
1948,11,cancer cell
1949,34,cancer cell
1950,34,cancer cell
1951,11,cancer cell
1952,11,cancer cell
1953,11,cancer cell
1957,12,cancer cell
1959,12,cancer cell
1960,1,cancer cell
1961,2,cancer cell
1963,5,cancer cell
1964,3,cancer cell
1965,5,cancer cell
1969,3,cancer cell
1970,29,other
1973,15,myofibroblast
1974,6,cancer cell
1975,14,stromal cell
1976,15,myofibroblast
1978,1,cancer cell
1979,6,cancer cell
1980,2,cancer cell
1981,19,other
1983,1,cancer cell
1984,11,cancer cell
1985,12,cancer cell
1986,12,cancer cell
1987,3,cancer cell
1988,1,cancer cell
1989,2,cancer cell
1990,5,cancer cell
1991,19,other
1996,9,other
1997,5,cancer cell
1998,4,cancer cell
1999,5,cancer cell
2000,11,cancer cell
2001,11,cancer cell
2002,11,cancer cell
2003,9,other
2008,19,other
2009,11,cancer cell
2010,5,cancer cell
2011,16,other
2012,-1,other
2013,19,other
2016,11,cancer cell
2018,5,cancer cell
2019,5,cancer cell
2023,5,cancer cell
2024,11,cancer cell
2025,9,other
2026,27,stromal cell
2028,2,cancer cell
2029,3,cancer cell
2030,5,cancer cell
2031,6,cancer cell
2032,3,cancer cell
2034,3,cancer cell
2035,24,epithelial cell
2036,17,myofibroblast
2039,11,cancer cell
2042,1,cancer cell
2043,4,cancer cell
2046,4,cancer cell
2048,3,cancer cell
2049,29,other
2051,12,cancer cell
2052,4,cancer cell
2053,12,cancer cell
2054,17,myofibroblast
2058,27,stromal cell
2059,37,cancer cell
2060,5,cancer cell
2062,2,cancer cell
2063,8,other
2064,19,other
2066,12,cancer cell
2067,3,cancer cell
2068,12,cancer cell
2070,4,cancer cell
2073,5,cancer cell
2074,5,cancer cell
2075,2,cancer cell
2076,29,other
2077,5,cancer cell
2078,12,cancer cell
2079,14,stromal cell
2081,11,cancer cell
2087,1,cancer cell
2088,34,cancer cell
2089,34,cancer cell
2090,2,cancer cell
2091,2,cancer cell
2092,2,cancer cell
2093,5,cancer cell
2094,5,cancer cell
2096,4,cancer cell
2097,2,cancer cell
2099,5,cancer cell
2100,12,cancer cell
2101,2,cancer cell
2104,11,cancer cell
2105,5,cancer cell
2106,12,cancer cell
2107,19,other
2111,5,cancer cell
2112,3,cancer cell
2113,5,cancer cell
2114,27,stromal cell
2115,17,myofibroblast
